name,latitude,longitude
gift,76.17449795,-99.53613281
gift,74.36667479,-96.87011719
gift,74.62510096,-125.0830078
gift,76.36226182,-117.6855469
gift,76.59854507,-112.3828125
north,74.36667479,-96.87011719
north,74.62510096,-125.0830078
north,74.05579888,-140.2880859
north,71.20191973,-153.8232422
north,64.86760782,-151.7138672
north,65.92855384,-158.1298828
north,59.73425345,-162.3486328
north,53.8784404,-153.4716797
north,46.34692761,-161.0302734
north,43.61221677,-158.1298828
north,45.61403741,-144.5947266
north,40.68063803,-136.3330078
north,43.73935208,-119.8974609
north,53.8784404,-113.3056641
north,50.81981826,-111.1962891
north,52.24125615,-100.1220703
north,58.28639548,-96.60644531
north,57.35023748,-84.47753906
north,59.62332522,-90.234375
north,65.71255746,-93.88183594
north,67.50856836,-82.98339844
north,71.34301347,-80.30273438
north,72.90672343,-82.58789063
north,76.47577254,-78.046875
north,77.76758238,-80.94726563
north,78.59529919,-88.06640625
north,77.7861905,-91.66992188
north,75.58493741,-90.43945313
north,74.18805166,-87.01171875
north,73.35305494,-95.94726563
riverlands,40.68063803,-136.3330078
riverlands,43.73935208,-119.8974609
riverlands,43.03677586,-117.7001953
riverlands,36.98500309,-119.4580078
riverlands,23.84564989,-109.7900391
riverlands,21.41216223,-104.3408203
riverlands,17.76961225,-100.6933594
riverlands,13.62463344,-108.9550781
riverlands,2.240639609,-112.1191406
riverlands,6.271618064,-125.4345703
riverlands,11.13528708,-135.7177734
riverlands,16.9307051,-136.4208984
riverlands,27.56672143,-134.1357422
riverlands,31.46615372,-129.0380859
riverlands,35.06597314,-130.6201172
riverlands,32.65787574,-137.5634766
riverlands,35.99578539,-139.0576172
riverlands,38.30718056,-133.9599609
vale,43.03677586,-117.7001953
vale,36.98500309,-119.4580078
vale,23.84564989,-109.7900391
vale,21.41216223,-104.3408203
vale,19.02057711,-101.7480469
vale,20.38582538,-92.56347656
vale,30.10711789,-78.58886719
vale,32.54681317,-77.84179688
vale,32.69486598,-87.20214844
vale,36.38591277,-80.52246094
vale,43.35713822,-80.7421875
vale,48.92249926,-83.33496094
vale,49.6391772,-106.7138672
vale,48.34164617,#VALUE!
iron,29.80251791,-143.1884766
iron,33.46810796,-144.6826172
iron,35.53222623,-147.7587891
iron,35.38904997,-150.6591797
iron,33.32134853,-157.8662109
iron,29.68805275,-157.9101563
iron,26.62781823,-155.4492188
iron,26.90247689,-149.8242188
westerlands,6.271618064,-125.4345703
westerlands,11.13528708,-135.7177734
westerlands,16.9307051,-136.4208984
